No Entidade Certificadora;Nu Ano;Nu Nota Comp1;Nu Nota Comp2;Nu Nota Comp3;Nu Nota Comp4;Nu Nota Comp5;Nu Nota Redacao;Q01;Q02;Q03;Q04;Q05;Q06;Q07;Q08;Q09;Q15;Q16;Q17;Q18;Q19;Q20;Q21;Q31;Q32;Q33;Q34;Q35;Q36;Q37;Q38;Q39;Q40;Q48;Sg Uf Prova;Tp Sexo;Tx Gabarito Ch;Tx Gabarito Cn;Tx Gabarito Lc;Tx Gabarito Mt;Tx Respostas Ch;Tx Respostas Cn;Tx Respostas Lc;Tx Respostas Mt;Co Prova Ch;Co Prova Cn;Co Prova Lc;Co Prova Mt;Co Uf Prova;In Aprovado Ch;In Aprovado Cn;In Aprovado Lc;In Aprovado Mt;In Prova Ch;In Prova Cn;In Prova Lc;In Prova Mt;Nu Idade;Nu Inscricao;Nu Nota Ch;Nu Nota Cn;Nu Nota Lc;Nu Nota Mt;Q10;Q11;Q12;Q13;Q14;Q22;Q23;Q24;Q25;Q26;Q27;Q28;Q29;Q30;Q41;Q42;Q43;Q44;Q45;Q46;Q47;Tp Certificacao;Tp Presenca Ch;Tp Presenca Cn;Tp Presenca Lc;Tp Presenca Mt;Tp Status Redacao
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ABAETETUBA;2019;1.4;1.6;1.6;1.6;2;8.2;D;B;B;G;G;B;B;A;L;E;A;C;B;A;L;G;A;;A;;B;B;A;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DDBCABBAAABBCDBACBADDACBCAACBA;DCCDCADBCCDBDCCADACBABDDADDDAD;CBBBCADCABDAABDBCBCDADBBCA*ACA;BDAAABDDCCBDDDDCACDABADABBCBDD;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;33;180006006998;136;144;106;118;5;1;3;4;3;5;5;5;4;1;5;5;5;0;2;1;1;4;0;0;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.4;1.6;1.2;1.2;1.8;7.2;B;B;B;F;B;B;B;A;G;D;A;A;B;A;J;F;A;;A;;B;B;B;A;A;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCCDBACBABCDAADBBCDCCDBADCBA;ADCAADCACBDDABCCBDCABACDADDAAD;.CDBBCDC**ACADBCDAABCBDBCBDADC;CABBDACBDADACDAACAADAACADADACB;201912;201909;201911;201910;15;1;1;1;0;1;1;1;1;37;180005984555;128;118;101;75;5;5;5;4;4;5;4;3;5;4;5;5;5;4;4;4;3;5;5;5;2;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BRAGANÇA;2019;1;0.8;0.8;0.8;0;3.4;A;A;B;F;F;A;A;A;K;A;C;A;D;C;J;C;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;AABAADBAABABCAABAAABDBCDDBDDBA;CA*BDDCDBBDAABADCDCBBADACDABAB;BABACAACABADAADACDA*BBABCDAAAC;CBABDBDAABCBADABBADAADCBCBCBCA;201912;201909;201911;201910;15;0;0;0;0;1;1;1;1;48;180003742345;99;97;99;81;2;2;4;5;2;5;4;5;1;1;5;5;5;3;0;0;0;5;0;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS CAMETÁ;2019;1.4;1;1.2;1.2;0;4.8;C;A;B;B;B;B;B;A;B;B;D;A;D;A;J;E;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;ACBDCDBABDCBACADBBDABCCCBAABDA;ABDDCAADBADDD*CDCABCCCADAABDCD;BABBDCACABCBDCACCDBCABBDDACBDC;CCACBDDBBBBCCDAAACCAAACCCCBCDA;201912;201909;201911;201910;15;0;1;0;0;1;1;1;1;19;180005998441;95;102;82;88;5;5;5;5;5;5;5;5;0;0;5;5;5;5;0;0;0;5;1;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS SANTARÉM;2019;1.2;1;1.2;1;0;4.4;C;A;B;G;B;B;B;A;G;E;A;A;D;C;J;F;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCDCABABDBACADCBABCACCCDCACCBB;AADDBADBCCDBDCCCDACAADCDCDDAAD;CCBADACBBCBAABADCABBDBCBC.CBAC;ABACCDDACCABABBCABDAADCACCDBCC;201912;201909;201911;201910;15;1;1;0;0;1;1;1;1;25;180004009793;103;136;100;90;5;5;5;5;5;5;5;5;5;2;5;5;5;5;0;0;0;5;5;0;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;1.6;1.4;1.2;0.6;6;A;A;B;A;A;C;B;A;E;E;D;D;D;C;H;F;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DC*DCABABACBBDDADAAABACDBCACDA;CACACDCDCCBAABDBCADCCBDDADACAD;ACBDCDCDABDBADBABCADDBDBCBDDDC;DACCDBCDABBCACBDBCAABACADDBCBA;201912;201909;201911;201910;15;1;0;1;0;1;1;1;1;27;180003932542;103;97;116;73;2;2;3;3;3;5;3;5;3;2;5;5;5;3;2;3;2;3;5;3;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;1.6;1.2;1.4;2;7.8;C;A;B;A;A;B;B;A;K;E;B;A;C;C;J;F;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;ACBAAABCCBCBACAAADAACCBACACACD;ABDDCDCBCCDDBCCBCCCABBCCCDDBAB;ACBADDDCABBCDDDBBAADCCDBCADDCA;DACBCBBCBCBBACDDBBCCDABBBDBCBC;201912;201909;201911;201910;15;0;1;1;0;1;1;1;1;27;180006138878;87;123;110;80;5;5;4;3;2;5;1;4;4;0;5;5;4;0;0;0;0;5;5;3;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ALTAMIRA;2019;1.4;1.2;1.4;1.4;0.8;6.2;C;A;B;G;F;C;C;A;G;E;B;A;A;D;H;E;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCDDBABABBADABCCADDCCBCAACBB;BABBDDCBDCDBDCCADBBABBCDADDCAD;DDBDCDACAADAADBABACDDCBBCADACC;BBCDCDDDCBBCCDDBBCCBBCDBBACBBC;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;39;180006001374;131;134;128;124;5;5;5;5;5;5;5;5;5;0;5;5;5;5;1;0;2;4;5;2;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS SANTARÉM;2019;1.2;0.8;1.2;1.2;0.8;5.2;C;A;B;B;A;D;C;A;E;E;B;A;B;C;K;F;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCCABAACBBBDAADAADBACDDBACBC;CCCDBACDCCDDDBCCCBBBBBDDBDDDAB;DBBABDADABDBACAABDDCDAADCADBCC;ADAACDCDABCAACCDAADCCDDADBCDAB;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;32;180006018293;128;132;116;101;4;5;5;3;2;5;3;3;5;3;5;2;3;5;2;2;2;5;5;2;2;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.2;1.4;1.2;1.2;0;5;C;A;B;G;B;C;B;A;G;E;A;A;C;E;J;F;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DDBCCBBBAABBCDAAABADDCCDDCACBB;CDDDAACBCCDBBCCCBBDABADDADDAAB;ACBCBDCBCADADDACADDDAABBCDDACC;BDABCDDABACBBDDBDABCABDBBDCBAB;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;31;180006009417;138;159;127;145;5;5;5;5;2;5;5;5;0;0;5;4;5;3;0;0;0;5;4;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.2;1.4;1.2;1;0;4.8;A;C;B;G;B;B;B;A;G;A;C;A;D;C;L;F;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DBBDAABABDCCABACDBDCBBCCABCBDD;CDDAAADBCCDBBCADBCDABCCCDBACDD;ABBABACBACAABBDCDBBBCCDBABDBAC;DBACBDBCCBDAB*ADCABAACBACBACDA;201912;201909;201911;201910;15;0;0;0;0;1;1;1;1;22;180003912817;86;91;106;95;5;5;5;5;0;5;5;5;2;0;5;5;5;0;0;0;2;5;2;2;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;1.6;1.4;1.2;1.2;7;B;C;B;C;C;C;C;A;D;D;D;C;C;C;J;F;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DBBCABBBBDBBCCAACBAADCCADBACBD;ACDBCCACCDDBBCDCDBCBBBBDADDAAD;ACBDCADACADAAAACBADCCACBCBDACC;BACBADBACAACACBBCCCDBBDCABCDBA;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;31;180006024950;127;137;121;122;5;5;5;5;3;5;5;5;3;2;5;5;5;5;0;0;3;5;5;0;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO DISTRITO FEDERAL;2019;1.4;1.4;1.2;1.2;2;7.2;B;C;B;F;F;B;B;A;G;E;D;A;D;A;K;H;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DBBCCDBBACBBCDAADBAABCCDDBBCBD;DCDBCACCCCDBBCCCCACDBBDDBDDDAD;BBBBBDCCDADADAAABCBDDCCDCADBCC;BAACABBBD.BCDDDDCAAAA.DBBAB.AB;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;39;180003943503;128;137;128;120;5;5;5;5;5;5;2;5;5;0;5;5;5;5;0;0;1;5;5;5;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1.4;1.4;1;1.2;0;5;B;A;B;A;B;B;A;A;L;A;B;A;C;A;L;D;A;;A;;B;B;B;B;A;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;CBBCBBCDBABBDBCAADCDCBBCBADCBA;ACDCBAACCCDBBCAACBBCBCBCADCBAC;ABAABCACBCABCBACDACCCACBCABBAC;DBCBABCBAADBCBCDACABABDBDCBCCA;201912;201909;201911;201910;15;1;1;0;0;1;1;1;1;24;180003944555;100;119;93;96;3;1;1;3;3;5;3;4;3;3;4;5;5;3;1;1;3;5;1;4;1;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS PARAUAPEBAS;2019;1.2;1.8;1.2;1.4;1.6;7.2;C;A;B;A;C;C;B;A;D;E;B;A;C;C;J;B;A;;A;;B;B;B;B;A;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCAABABCABAAABBCDABDCACABCDA;AACBBACBCABDCCCACBBAADCDADDABD;BBBBBAADBBABBCABDDDAADCACBDACC;CDABBDDDAABBACDDACABAACADADAAC;201912;201909;201911;201910;15;1;1;1;0;1;1;1;1;19;180003829902;106;116;104;93;3;3;4;5;5;5;4;5;0;0;5;5;5;5;0;0;3;3;0;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1.4;1.6;1.2;1.2;0;5.4;B;A;A;A;A;B;A;A;G;B;B;A;C;C;K;F;A;;A;;B;B;B;B;A;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCAABDACBCDDDACADBBBCBAAADBD;DBDCAADDCBDBBCCCCBCBDCDDDDDDBD;DBDBADCCDCDADDDABAABCDBCCADDAD;BCCCAADDABDBBCABCAABBCBCDCCBAB;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;21;180003939122;110;137;109;101;4;4;5;5;5;5;5;5;5;0;5;3;4;3;0;3;0;5;0;3;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1.2;1.4;1;1;1.6;6.2;B;A;B;C;C;A;A;A;F;A;B;A;B;D;J;C;A;;A;;B;B;B;B;A;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCBBABBCACDBDDABABBDBCCACBABCA;ADDCBACCBADDACCCCCACBBCAADADAC;BABBBDDAACBBDBCBACDADABBCBCDCC;CCBBACCDCBADADADBCABABDBBDBCBC;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;30;180004875475;108;120;104;105;1;0;1;3;1;4;4;3;0;0;3;3;4;4;0;0;2;5;0;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS SANTARÉM;2019;1.6;1.6;1.2;1.2;1.6;7.2;B;A;B;A;G;C;C;A;K;E;B;A;C;C;J;G;A;;A;;B;B;B;B;A;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;CDBCCACDBCBBCDAABBADDACBCCABBA;DBDABAABCCDBBCCBCBCCBACDADBBAD;CCBCCDDCAADAACAABADCCDABCBDDCC;ADCCCDDDACBDAABBCABCBB*BBCCBDD;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;31;180006133443;125;135;122;119;5;5;5;5;2;5;5;5;5;0;5;5;5;5;0;0;0;5;0;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS SANTARÉM;2019;1;1;1.2;1;1.4;5.6;B;B;B;B;B;C;C;A;B;E;D;A;C;C;K;G;A;;A;;B;B;B;B;A;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;D*BCADBCADBBCDAABCBDDCCDDCACAD;DCC*BDCBCCDBBAACCCCCBBDDADABAD;BCBBCDDDABAAACCDBADCCBDBCADDCC;BDACBDCCAABCABCABCDCADDBDDBDCA;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;36;180005997455;127;114;111;103;5;5;5;5;3;5;2;4;4;1;5;5;5;5;0;0;4;5;3;1;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;0.4;0.8;1.6;0;4.4;B;A;B;G;C;C;B;A;K;D;C;A;B;C;L;F;A;;A;;B;B;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCBAADBACDBAADBCAAABDABCABACDB;ABCABADDCCCABCDACCDABADDABADDD;ABBBCDADADBAADCABACDABCBDABCAA;ABACDBADBACDBDACABBABCDADABDCA;201912;201909;201911;201910;15;0;0;0;0;1;1;1;1;26;180003918909;96;91;101;89;4;1;4;4;2;5;3;0;5;0;4;5;5;2;0;0;0;5;0;0;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;2;1.6;1.2;1.8;7.8;C;A;B;A;A;B;B;A;D;D;B;A;B;D;I;E;A;;A;;B;B;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCACAAACABADAACACCAACCBAACBA;DADBCACBDCDABCACCBDDABDDADABAD;CCBAADABADADACAAAADBAAABCACDAA;CABBBACBACABACAADCADDACADCACAD;201912;201909;201911;201910;15;1;1;0;0;1;1;1;1;22;180005943720;115;120;95;75;5;4;4;4;5;5;5;5;5;0;5;5;5;5;0;5;0;5;0;0;0;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.4;1.6;1.4;1;1.8;7.2;B;A;B;G;B;A;A;A;K;A;A;A;D;D;K;B;A;;A;;B;B;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABAAADABCBBCABBABBACACCACABBB;AADADDCDCADDBCCACBDABDCACDDDAD;BBBDBACDABDDDADBCACACDCABCDBCD;CADADDCAABADDCBAADDBACCADACBCD;201912;201909;201911;201910;15;1;1;0;0;1;1;1;1;21;180003926953;101;126;97;84;5;0;5;5;5;5;0;5;0;0;5;2;2;2;0;0;0;1;0;5;1;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS SANTARÉM;2019;1;0.4;1.2;1.2;0;3.8;C;A;B;B;A;B;B;A;G;A;A;A;B;A;I;F;A;;A;;B;B;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCABBABCBBCDCADAADDCCBBAACBB;ACCABADACBDDBCCCCAAACDDDADADAD;ABBBCCADDBDADBDBBBACCDBBCCDCCC;BDACABDAAACCACADAAAAABDABBCAAD;201912;201909;201911;201910;15;1;1;0;1;1;1;1;1;39;180006122182;139;127;119;126;5;5;5;5;5;5;5;5;5;0;5;5;5;5;0;0;0;5;5;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS TUCURUÍ;2019;1.6;1.6;1.2;1.2;1.2;6.8;C;A;B;G;G;B;B;A;D;C;A;A;D;C;J;E;A;;A;;B;B;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;ACBCCABCBCCBCCBACAAADCCACACBBD;DADABACBCBDAADCDCBBBBBDACBDDAB;BCBABADBDBAABBCCBBDDDACACBCCBA;BBCBABABDBBBDCCCCCCDDCDACCBCDC;201912;201909;201911;201910;15;1;1;0;1;1;1;1;1;19;180004023896;110;112;96;101;5;3;5;5;3;5;5;5;5;0;5;5;5;4;0;0;0;2;0;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS SANTARÉM;2019;1.4;1.6;1.4;1.4;0;5.8;C;A;A;A;A;B;B;A;L;A;A;A;D;D;J;H;A;;A;;B;B;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCBCABBCBDABCAACCAABCCCDDDACBC;DBCDAACCCDDDDDABCABABBBDBDDBBC;ACBBBCCCABDACBBABBBDABABCCAAAC;BCBCBCCBBADB*CCACBCABBCBCBDDBC;201912;201909;201911;201910;15;1;0;1;0;1;1;1;1;45;180003945747;115;91;114;82;5;5;5;5;5;5;5;5;5;0;5;5;5;5;0;5;0;5;5;0;5;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;1.4;1.2;1.2;0;5.4;B;A;A;C;A;C;B;A;K;E;D;D;C;C;J;F;A;;A;;B;B;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;BDBDABBAABBBCDAABCBADACBBCCBBB;DADBDABBCBBDDCCCAADCBBCCADCBAC;CABDCDCCDBDADAADCADDCCCBCADDDA;ACBCDCDCCBBDACDAACCAACDBCBDCAA;201912;201909;201911;201910;15;1;1;1;0;1;1;1;1;34;180006000308;111;117;109;99;5;5;5;5;5;5;5;5;0;0;5;5;5;5;0;0;4;0;0;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.4;1.6;1.6;1.6;2;8.2;B;A;B;C;D;C;C;A;E;B;C;A;B;D;K;E;A;;A;;B;B;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABBABBCBCBBCDABABCDDACBBAACBB;ABCADDDBCBDDBCCCCBBCBACDBDADAD;BABCBACCAA*BABBAAACCAABBCBDDCC;CDCDACBBCCBBACBDACCABDDACABBAC;201912;201909;201911;201910;15;1;1;1;0;1;1;1;1;27;180006034175;128;130;117;95;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;0;0;1;0;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS TUCURUÍ;2019;1.6;1.6;1.6;1.6;1.6;8;C;A;B;A;A;C;C;A;D;D;B;A;B;A;J;F;A;;A;;B;B;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DDBCCABCBDBBCAAAABBDDBCBBCCCBD;CCDACDDBCCDABCCCBCDBBDDDADDCAD;ACBDADCCCADAADADBBACCCDBCADDCC;BCABBCCAAACADBBDBCDCBCBACCDDCB;201912;201909;201911;201910;15;1;1;1;0;1;1;1;1;27;180003973797;127;140;131;79;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;1;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;1.6;1.6;1.6;2;8;C;A;B;A;A;B;A;A;L;A;A;A;B;F;J;E;A;;A;;B;B;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCABADCBBCABDBAAACBCCBABCABCBD;ADDDBACCCCDBBCCCCBAABBDDADADAD;ADBBBDADDCDAADAABBDBDADDCACDCC;ABDBCDCCACCBACCDBCBABADABBBBAD;201912;201909;201911;201910;15;0;1;1;1;1;1;1;1;23;180003898669;97;140;120;104;5;2;5;5;5;5;5;3;3;2;5;5;5;0;0;0;1;5;0;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.6;2;2;1.8;2;9.4;B;A;B;G;D;B;B;A;L;A;A;A;A;A;K;E;A;;A;;B;B;B;B;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCCBBBBABBCDAAABADDCCBCAACBC;CBCACDDCCCDBBCCCBBDBABDDADDDAD;ABBCBDCAAADADBABBAACDCBBCADBCC;BBAACDDAAABCABDDDDCCBBDBBCDDAB;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;30;180003962388;152;155;133;134;4;4;4;0;0;5;4;0;5;0;2;5;0;0;0;0;0;5;0;0;0;2;1;1;1;1;1
